,ID,School
158121,401431,Auburn
309150,401596,PennWest
44016,401596,Cleveland St
298239,401596,Edinboro
44505,401679,Pittsburgh
278152,401679,George Mason
64072,401756,TAMPA
187077,401756,Washington
148048,402022,Evansville (M)
33748,402022,Evansville (W)
245031,402172,UNLV (W)
115791,402172,UNLV (M)
289692,402172,Fla Atlantic (W)
245553,402722,Bryant U (W)
55941,402722,Bryant U (M)
3555,402775,Rider
333058,402775,TCNJ
172379,402906,Grand Valley
40156,402906,SUNY Cobleskill
243913,402986,Missouri St (W)
107132,402986,East Carolina
288520,403016,Texas A&M
49666,403016,West Virginia
135287,403057,NC State
179338,403057,Queens (NC)
287288,403059,Penn
26386,403059,California
42400,403156,Auburn
157473,403156,SMU
311840,403224,Nova S'eastern
249709,403224,Florida St
304700,403282,Colorado Mesa
91131,403282,Eastern Mich
236954,403419,Michigan
252375,403419,Georgetown
154687,403420,Oakland
233575,403420,Loy. Marymount
166826,403420,Southern Indiana
60182,403694,Little Rock
228788,403694,Incarnate Word
260893,403715,Air Force (W)
55909,403715,Air Force (M)
101013,403735,Minnesota
275858,403735,Missouri
96060,403788,Nevada
243922,403788,Evansville (W)
164078,403885,Rider
157147,403885,LIU
127123,403885,Missouri St. (M)
253876,403983,Ohio St
289390,403983,Denver
275006,403989,Florida
249034,403989,Virginia
142594,404031,NJIT
129155,404031,Milwaukee
71919,404418,Cincinnati
160730,404418,George Mason
152940,404461,Wyoming (M)
1032,404461,Wyoming (W)
111205,404539,George Mason
165821,404539,South Carolina
228328,404771,New Hampshire
251191,404771,Fordham
101156,404852,Air Force (M)
272407,404852,Air Force (W)
37553,404886,Miami (FL)
282166,404886,Virginia Tech
335721,404986,R-MC
343078,404986,Marymount
71119,405040,South Carolina
167099,405040,Cal Baptist
189954,406942,Springfield
189554,406942,Middlebury
131299,406942,Kentucky
118883,406979,Bates
224266,406979,Denison
180781,406979,Augustana (M)
130888,408353,Southern Cali
167745,408353,West Virginia
272797,408995,Air Force (W)
49770,408995,Air Force (M)
234358,409016,Arkansas
255796,409016,North Texas
124334,409666,Pittsburgh
288366,409666,LSU
95265,409757,South Carolina
161957,409757,Wisconsin
232190,409839,Boise St
280472,409839,Nebraska
114776,411825,California
274160,411825,Southern Cali
11670,412426,Connecticut
182277,412426,Southern Conn
213981,412578,Rowan
88211,412578,Pittsburgh
36047,412994,Maine
283752,412994,Cleveland St
142891,413770,Cincinnati
134391,413770,Florida St
155908,413770,Niagara
174662,414098,Bloomsburg
185924,414098,IUP
95991,415900,Illinois Chicago (W)
256149,415900,Illinois-Chicago
262474,415942,Arizona
101011,415942,Iowa
264510,416107,Texas A&M
275755,416107,Arkansas
44596,416169,Nebraska
289889,416169,TCU
160252,416174,Seattle U (M)
121342,416174,Seattle U (W)
263903,416177,Georgia
281323,416177,Virginia
46275,416199,Wyoming (W)
132608,416199,Wyoming (M)
150625,416535,Georgia
22522,416535,Utah
168815,416653,Delaware
89642,416653,Norwich
63891,416666,St. Cloud St.-W
180635,416666,St. Cloud St.-M
74461,416760,Boise St
272930,416760,Wyoming (W)
229445,417073,Old Dominion (W)
36139,417073,Old Dominion (M)
118272,417200,Calvin
355851,417200,Denison
46944,417215,Cincinnati
268217,417215,Old Dominion (W)
48020,417284,Michigan
167930,417284,West Virginia
52438,417330,East Carolina
142133,417330,Pittsburgh
135073,417330,UNC
167400,417364,George Mason
23287,417364,Arizona
47944,417556,UNLV (M)
167161,417556,SMU
60391,417610,CSU East Bay
273770,417610,Houston
132456,417680,Seattle U (M)
51157,417680,Seattle U (W)
105008,417820,Iowa
139474,417820,Utah
32926,417824,Penn
165143,417824,Southern Cali
88565,418325,Tennessee
164807,418325,UCSB
49575,418349,Iowa
274358,418349,Arizona
44323,418407,Dixie State
304262,418407,Colorado Mesa
19970,418653,Pacific
165413,418653,Stanford
57384,418693,Texas
289687,418693,SMU
57328,418753,Tulane
291186,418753,Washington St.
132602,418768,Seattle U (M)
111156,418768,Seattle U (W)
169983,418840,Drury
78539,418840,Wyoming (W)
160304,418840,Wyoming (M)
240269,418894,Iowa State
36929,418894,Iowa
86473,418945,Southern Cali
165278,418945,Arizona St
247849,418950,Denver
310026,418950,Mines
31841,418956,Michigan
282057,418956,Notre Dame
162034,418997,Northwestern
497,418997,Georgetown
127173,419016,La Salle
154956,419016,Oakland
74151,419020,Old Dominion (M)
255535,419020,Old Dominion (W)
107142,419029,East Carolina
246713,419029,Kentucky
33258,419169,Grand Canyon
152171,419169,UN Omaha
95314,419403,Denver
150272,419403,LSU
233239,419481,UCLA
288725,419481,Vanderbilt
233455,419595,California
286790,419595,Northwestern
