Name,School,Power,Link,Hometown
Tim Gallagher,Hawaii,-1,,
Brayden Murphy,Brigham Young,-1,/swimmer/240509,
Tyler Johns,Cal Poly,-1,/swimmer/459792,
Walker Wilson,Pacific,-1,/swimmer/290537,
Garrison Price,Cal Poly,-1,NoMatch,
Colin Casey,UCSB,-1,NoMatch,
Winston Fong,Pacific,-1,/swimmer/603847,
Logan Heaney,Pacific,-1,/swimmer/413272,
William Schodorf,UCSB,-1,/swimmer/497466,
Andre Yarcan,Cal Poly,-1,/swimmer/504955,
Kennan Hotchkiss,UCSB,-1,/swimmer/374859,
Justin Lisoway,Hawaii,-1,/swimmer/671267,
John Clark,Hawaii,-1,NoMatch,
Lars Worlund,Cal Poly,-1,/swimmer/409212,
Daniel Marella,UCSB,-1,,
Brian Wong,Cal Poly,-1,NoMatch,
Christopher Patrick,Cal Poly,-1,/swimmer/447454,
Sawyer Kruse,Hawaii,-1,/swimmer/491311,
Colton Smith,Cal Poly,-1,NoMatch,
Christopher Hogan,Cal Poly,-1,/swimmer/539084,
Timothy Cater,Cal Poly,-1,/swimmer/391516,
Nalex Young,Pacific,-1,,
Ethan Kramer,Brigham Young,-1,/swimmer/271705,
Ricky Lewis,Pacific,-1,,
Nick Cisco,Pacific,-1,,
Jonathan Tan,Pacific,-1,/swimmer/418653,
Daniel Pry,UCSB,-1,/swimmer/433193,
Christian Schroeder,Pacific,-1,/swimmer/423752,
Dominic Falcon,UCSB,-1,NoMatch,
Adrian Paseta,CSUB,-1,/swimmer/873073,
Zachary Serrano,CSUB,-1,,
Gennady Sytnik,Cal Poly,-1,/swimmer/349217,
Aj Dolan,Pacific,-1,,
Mark Anthony Beckles,Howard,-1,/swimmer/510513,
Peter Jones,Mt St Mary's,-1,NoMatch,
Ryan Griffiths,Mt St Mary's,-1,/swimmer/413873,
Eric Bebel,Bryant U (M),-1,/swimmer/395568,
Dom Scifo,Bryant U (M),-1,,
Arion Solomon,Howard,-1,/swimmer/433265,
Fu Kang Wong,Bryant U (M),-1,,
KEVIN CLAIBORNE,Howard,-1,,
Reese Samuel,Howard,-1,/swimmer/547277,
John Mata,Mt St Mary's,-1,,
T'lez Foulkes,Howard,-1,,
Jackson McDonough,Bryant U (M),-1,/swimmer/477851,
Miguel Davis,Howard,-1,,
Ryan Burke,Bryant U (M),-1,NoMatch,
Marko Danev,St. Francis,-1,/swimmer/571174,
Griffin Distler,Mt St Mary's,-1,/swimmer/891915,
Luke-Kennedy Thompson,Howard,-1,,
Steven Dawkins,St. Francis,-1,/swimmer/1184665,
Josiah Scott,Howard,-1,/swimmer/1517429,
Austin Dodd,Mt St Mary's,-1,/swimmer/495495,
Alex Henager,Mt St Mary's,-1,,
Meriton Veliu,St. Francis,-1,,
Jordane Payne,Howard,-1,/swimmer/510654,
Benedek Lendvai,St. Francis,-1,/swimmer/1046306,
Tim Bonner,Mt St Mary's,-1,,
Luke Davis,Mt St Mary's,-1,NoMatch,
Samu Csordas,St. Francis,-1,/swimmer/1184670,
Mark Boiko,Mt St Mary's,-1,/swimmer/593425,
Brendan Flanagan,Mt St Mary's,-1,/swimmer/610755,
Chris Kerrigan,Bryant U (M),-1,,
Caleb Padgett,Mt St Mary's,-1,/swimmer/565506,
Albion Veliu,St. Francis,-1,/swimmer/1184666,
Miles Simon,Howard,-1,/swimmer/579649,
Matthew Mays,Bryant U (M),-1,/swimmer/427999,
Binald MAHMUTI,St. Francis,-1,,
Daniel Olsson-Shirazi,St. Francis,-1,/swimmer/422712,
Ethan Pham,Mt St Mary's,-1,NoMatch,
Asher Stukelman,Bryant U (M),-1,/swimmer/422539,
Jake Williams,Bryant U (M),-1,NoMatch,
Tyler Stringfellow,Bryant U (M),-1,/swimmer/427199,
JOEL WILKINSON,Howard,-1,/swimmer/1188075,
Pedro Gueiros,East Carolina,-1,/swimmer/1072326,
James Ward,East Carolina,-1,NoMatch,
Riley Hill,SMU,-1,NoMatch,
Dom Polling,Cincinnati,-1,,
Charlie Kaye,SMU,-1,,
Murat Sagdullaev,Cincinnati,-1,/swimmer/692132,
Justin Baker,SMU,-1,/swimmer/656800,
Ryan Aroesty,SMU,-1,/swimmer/358878,
Jack Easton,SMU,-1,/swimmer/1804176,
Cole Fleming,SMU,-1,/swimmer/445464,
Michael Balcerak,Cincinnati,-1,/swimmer/393126,
Connor Gamble,SMU,-1,/swimmer/616661,
Adam Mahler,East Carolina,-1,/swimmer/417330,
Joseph Carson,SMU,-1,/swimmer/456564,
Caleb Rhodenbaugh,SMU,-1,/swimmer/740609,
Wyatt Cronk,SMU,-1,/swimmer/353416,
Cameron Katzman,SMU,-1,,
Kevin Leibold,Cincinnati,-1,/swimmer/459042,
Petar Bozhilov,SMU,-1,/swimmer/355534,
Noah Smith,Cincinnati,-1,/swimmer/1497260,
Colin Feehery,SMU,-1,/swimmer/453344,
Marek Osina,East Carolina,-1,/swimmer/450844,
Brayden Rudd,SMU,-1,,
Kolos Nagy,SMU,-1,/swimmer/464808,
Wyatt Welch,SMU,-1,NoMatch,
Tyler Barfield,SMU,-1,/swimmer/447265,
Jackson Skigen,SMU,-1,/swimmer/424709,
Lyubomir Epitropov,East Carolina,-1,/swimmer/508719,
Connor Dalbo,SMU,-1,/swimmer/422489,
Dalton Lillibridge,Cincinnati,-1,/swimmer/386029,
AJ Mainord,SMU,-1,,
Spencer Sehlhorst,Cincinnati,-1,/swimmer/436609,
Marin Ercegovic,Arizona,-1,,
Jack Dolan,Arizona St,-1,/swimmer/398940,
Nikola Miljenic,Southern Cali,-1,/swimmer/450632,
Evan Carlson,Arizona St,-1,/swimmer/419152,
Cody Bybee,Arizona St,-1,/swimmer/358312,
Carter Swift,Arizona St,-1,/swimmer/401459,
Cooper Deryk,Utah,-1,/swimmer/893347,
Tai Combs,Arizona,-1,/swimmer/419834,
Mason Gonzalez,Stanford,-1,/swimmer/357009,
Marcos Rico Peng,California,-1,/swimmer/1229575,
Ethan Luc,Arizona St,-1,/swimmer/393114,
Neel Roy,Stanford,-1,/swimmer/649341,
Finn O'Haimhirgin,Utah,-1,,
Santiago Contreras,Utah,-1,/swimmer/640705,
Hunter Ingram,Arizona,-1,/swimmer/428308,
Will Tarvestad,Stanford,-1,,
Brooks Taner,Arizona,-1,/swimmer/650773,
Colin Gwiazdowski,Arizona,-1,/swimmer/401777,
Jan Collazo Torres,Southern Cali,-1,/swimmer/532944,
Jack Kirby,Southern Cali,-1,/swimmer/474767,
Ryan Peterson,Southern Cali,-1,/swimmer/449710,
Alexei Sancov,Southern Cali,-1,/swimmer/420573,
Jordan Dunn,Arizona St,-1,/swimmer/412399,
Wyatt Matson,Arizona,-1,/swimmer/447224,
Elijah Warren,Arizona St,-1,/swimmer/300309,
Jp Hynes,Utah,-1,,
Ariel Spektor,Southern Cali,-1,/swimmer/422580,
Grant Shoults,Stanford,-1,/swimmer/282906,
Kyle Millis,California,-1,/swimmer/413394,
Jack Anderson,Arizona,-1,/swimmer/501648,
Paul Retterer,Southern Cali,-1,/swimmer/503920,
Sebastian Somerset,California,-1,/swimmer/570428,
Reece Whitley,California,-1,/swimmer/265327,
Ty Coen,Arizona,-1,,
Ty Wells,Arizona,-1,,
Michael Petrides,California,-1,/swimmer/347787,
Noah Carlson,Utah,-1,/swimmer/422759,
Lex Hernandez-Nietling,Utah,-1,,
Julian Hill,Arizona St,-1,/swimmer/309991,
Tyler Klawiter,Utah,-1,/swimmer/399036,
Bryce Mefford,California,-1,/swimmer/351225,
Liam Bresette,Arizona St,-1,,
Andrew Gray,Arizona St,-1,/swimmer/505413,
Daniel Namir,Arizona,-1,/swimmer/561283,
Aldan Johnston,Arizona,-1,/swimmer/401903,
Daniel Carr,California,-1,/swimmer/289282,
Alex Liang,Stanford,-1,/swimmer/343992,
Trent Martinez,Southern Cali,-1,,
Dominic Margarino,Southern Cali,-1,/swimmer/541826,
Hugo Gonzalez de Oliviera,California,-1,,
Chris Jhong,California,-1,,
Colby Mefford,California,-1,/swimmer/418780,
Ben Waterman,Utah,-1,,
Jason Louser,California,-1,/swimmer/394499,
