,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
431995,,,31.33,59.84,,,2:11.81,,,6:04.30,,,,,,,,,1:02.66,,,2:18.35,,,1:20.53,,,2:51.26,,,1:05.31,,,2:34.70,,,1:07.41,,2:24.45,,,5:18.04,,,,,85.38,88.48,,,99.39,,,100.00,,,,,,,,,71.41,,,81.44,,,100.00,,,100.00,,,95.51,,,100.00,,,96.29,,90.35,,,100.00,,
649345,,25.60,,,55.26,,,2:04.61,,,,,,,,,,,,,,,,,,,,,,,,,1:02.87,,2:17.80,,,,,,2:30.71,,,,,12.74,,,9.00,,,23.59,,,,,,,,,,,,,,,,,,,,,,,,,13.44,,23.66,,,,,,41.16,,,
365019,,,26.49,51.02,,,1:53.89,,,5:09.30,,,,,9:51.53,,,,,,1:22.52,,,2:44.69,1:08.68,,,2:45.20,,,,,1:28.34,,,,1:04.27,,,,2:44.08,,,,,,12.45,17.20,,,28.98,,,37.21,,,,,48.09,,,,,,100.00,,,100.00,51.51,,,100.00,,,,,100.00,,,,70.25,,,,81.86,,,
481592,22.97,,,50.70,,,1:54.01,,,5:10.42,,,,,,,,,1:11.70,,,,,,1:13.14,,,,,,57.78,,,,,,,,,,,,,,11.32,,,15.02,,,29.38,,,38.69,,,,,,,,,100.00,,,,,,82.77,,,,,,35.69,,,,,,,,,,,,,
495529,24.92,,,52.76,,,1:52.08,,,4:57.20,,,,,9:09.97,,,17:30.65,58.22,,,2:05.66,,,1:10.59,,,2:29.50,,,,,1:02.43,,,2:16.47,,,2:02.35,,,,,4:55.72,41.87,,,29.49,,,22.97,,,21.84,,,,,19.22,,,19.50,37.69,,,36.21,,,64.42,,,53.90,,,,,11.10,,,11.28,,,16.06,,,,,12.16
661850,,,26.79,,,59.58,,,2:14.48,,,,,,,,19:31.22,,,1:05.15,,,2:20.50,,,,,,,,,,1:02.37,,2:21.49,,,,,,2:29.13,,,,,,16.28,,,24.12,,,42.13,,,,,,,,64.88,,,41.13,,,39.22,,,,,,,,,,10.78,,33.78,,,,,,36.79,,,
367417,24.06,,,53.92,,,2:03.24,,,5:30.66,,,,,,,,,58.97,,,,,2:34.19,,,1:33.51,,,,58.97,,,,,,1:15.46,,,,2:39.33,,,5:37.83,27.79,,,38.16,,,63.15,,,67.42,,,,,,,,,43.04,,,,,66.06,,,100.00,,,,44.18,,,,,,100.00,,,,66.61,,,66.73
547220,24.17,,,52.88,,,1:58.76,,,5:29.04,,,,,,,,,59.84,,,2:22.31,,,1:19.58,,,2:46.48,,,56.93,,,2:11.51,,,1:06.49,,2:16.48,,,,,,29.53,,,30.37,,,46.11,,,64.98,,,,,,,,,49.42,,,97.39,,,100.00,,,100.00,,,29.83,,,46.75,,,88.40,,60.71,,,,,
609832,24.16,,,52.74,,,1:54.66,,,5:26.35,,,,,,,,,1:01.63,,,,,2:52.45,1:11.74,,,,,,1:04.77,,,,,,,,2:19.10,,,,,,29.37,,,29.35,,,31.59,,,61.00,,,,,,,,,63.14,,,,,100.00,72.53,,,,,,90.72,,,,,,,,70.08,,,,,
505471,,,27.93,,,1:00.15,1:52.24,,,5:09.94,,,,,10:13.20,19:11.74,,,59.46,,,,,2:27.64,1:11.19,,,2:34.64,,,58.16,,,2:47.53,,,1:04.37,,2:13.02,,,4:45.13,,,,,31.63,,,27.68,23.49,,,38.05,,,,,64.86,71.97,,,46.61,,,,,45.90,68.62,,,70.22,,,38.36,,,100.00,,,71.04,,48.87,,,49.73,,
418966,24.51,,,53.77,,,1:57.52,,,,,,,,,,,,57.48,,,2:07.88,,,1:09.26,,,2:31.73,,,,,1:03.23,2:03.50,,,,,2:08.04,,,4:36.39,,,35.03,,,37.02,,,41.61,,,,,,,,,,,,32.54,,,43.50,,,55.35,,,60.84,,,,,15.38,21.71,,,,,32.87,,,36.47,,
495522,24.32,,,53.88,,,1:56.43,,,5:12.06,,,,,,,,19:34.04,59.38,,,2:07.28,,,1:02.83,,,2:15.77,,,1:02.02,,,,,,1:00.51,,2:03.28,,,,,5:09.53,31.94,,,37.85,,,37.73,,,40.89,,,,,,,,66.34,46.02,,,41.50,,,16.23,,,15.52,,,67.57,,,,,,42.25,,18.71,,,,,28.48
503114,24.76,,,53.74,,,,,2:20.43,,,4:57.83,,,,,,21:54.01,56.54,,,,,2:27.48,1:06.87,,,,,2:59.21,1:04.66,,,2:39.31,,,1:42.23,,2:07.46,,,,,5:41.77,39.18,,,36.79,,,,,61.71,,,67.05,,,,,,100.00,26.19,,,,,45.43,39.92,,,,,73.25,89.76,,,100.00,,,100.00,,31.09,,,,,72.60
1277644,24.89,,,55.59,,,,,2:23.10,5:44.25,,,,,,,,,58.97,,,2:15.83,,,1:09.00,,,2:33.34,,,1:00.30,,,2:45.02,,,,,2:13.18,,,5:02.57,,,41.36,,,51.30,,,,,71.05,88.79,,,,,,,,,43.04,,,71.76,,,53.62,,,65.98,,,54.09,,,100.00,,,,,49.40,,,78.73,,
670542,,,27.65,,,1:00.30,,,2:08.90,,,4:34.31,,,9:40.36,,,18:12.37,58.03,,,2:06.46,,,,,1:12.06,,,2:35.30,,,1:04.67,,,2:21.61,58.48,,,,2:19.90,4:22.18,,,,,27.74,,,28.63,,,25.28,,,30.74,,,39.92,,,34.18,36.35,,,38.81,,,,,13.92,,,13.10,,,23.38,,,24.22,28.51,,,,13.11,16.63,,
505942,,,28.04,,,1:00.17,,,2:08.71,,,4:32.69,,,9:51.40,,,19:35.23,57.83,,,2:03.93,,,,,1:22.28,2:30.60,,,59.53,,,,,,1:07.56,,,,2:26.57,4:36.37,,,,,33.18,,,27.81,,,24.73,,,28.45,,,48.00,,,66.85,34.96,,,30.70,,,,,69.10,57.30,,,48.30,,,,,,97.60,,,,29.92,36.44,,
