Name,School,Power,Link,Hometown
Joe Blake,Canisius,-1.0,,
Noah Brooks,Niagara,37.09,/swimmer/661987,CAN
Mason Arnberg,Marist,33.96,/swimmer/395868,"Dix Hills, NY"
Kyle Iorizzo,Rider,8.09,/swimmer/399864,"Norwood, NJ"
Adam Kapusta,Marist,9.74,/swimmer/399910,"Valley Stream, NY"
Charles Scheel,Marist,-1.0,,
Dylan Edge,Monmouth,29.6,/swimmer/445151,"Chandler, AZ"
Patrick Boyle,Fairfield,18.92,/swimmer/397408,"Merrick, NY"
Timothy Cusack-Mcpartlin,Fairfield,32.61,/swimmer/400008,"Staten Island, NY"
Jordan Read,Canisius,30.52,/swimmer/377095,"Las Vegas, NV"
David Cooper,Rider,15.78,/swimmer/399035,"Spring, TX"
Nathan Heisey,Monmouth,35.38,/swimmer/612038,"East Petersburg, PA"
Sean Doran,Marist,28.54,/swimmer/423736,"Bridgewater, NJ"
David Rucci,Rider,16.2,/swimmer/453865,"Wenonah, NJ"
Andrew Iannacone,Rider,23.57,/swimmer/495067,"Yardley, PA"
Jack Rogers,Monmouth,-1.0,,
Cole Grosshans,Miami (Ohio),14.16,/swimmer/457043,"Clarendon Hills, IL"
Nic Wamsley,Miami (Ohio),-1.0,,
Ben Chatwin,Miami (Ohio),16.02,/swimmer/407760,"Forest Lake, MN"
Jack Wolfred,Ball State,22.81,/swimmer/484870,"Noblesville, IN"
Owen Chaye,Ball State,33.08,/swimmer/558703,"Medina, OH"
Duncan McLarty,Ball State,100.0,/swimmer/485205,"Indianapolis, IN"
Porter LeVasseur,Missouri St. (M),19.62,/swimmer/403885,"Edwardsville, IL"
Dominic May,Valparaiso (M),23.86,/swimmer/741025,"Naperville, IL"
Riccardo Domenico,Evansville (M),-1.0,,
Noah Witzki,Missouri St. (M),18.86,/swimmer/398972,"Liberty, MO"
Zheng Yang Yeap,SIUC (M),-1.0,,
Patrick White,Ball State,29.14,/swimmer/487013,"Warrenville, IL"
Bryce Handshoe,Ball State,31.4,/swimmer/623507,"Fort Wayne, IN"
Fitz Miller,Miami (Ohio),-1.0,,
Arthur Cury,Missouri St. (M),100.0,/swimmer/830026,"Curitiba, BRA"
Drake Manuello,SIUC (M),20.02,/swimmer/423711,"Greeley, CO"
Adam Cernek,SIUC (M),15.16,/swimmer/508835,SVK
Jonathan Hill,Missouri St. (M),-1.0,,
Landyn Riester,Ball State,28.54,/swimmer/574642,"Tucson, AZ"
Derek Eidson,Valparaiso (M),28.26,/swimmer/374501,"Ventura, CO"
Jacob Krzciok,Miami (Ohio),18.07,/swimmer/431289,"Freeland , MI"
Adam Chwieros,Valparaiso (M),40.59,/swimmer/487530,"Grayslake, IL"
Jacob Powell,Ball State,54.42,/swimmer/398248,"Granger, IN"
