ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
367386,25.02,,,53.76,,,1:59.94,,,5:51.20,,,,,,,,,1:01.01,,,2:13.76,,,1:12.97,,,2:51.16,,,1:08.31,,,2:35.62,,,,,2:17.99,,,4:58.98,,,43.58,,,35.52,,,48.19,,,97.42,,,,,,,,,57.22,,,62.53,,,77.85,,,100.0,,,100.0,,,100.0,,,,,62.31,,,71.37,,
2053712,,,28.46,53.70,,,1:55.52,,,5:21.46,,,11:36.32,,,20:32.43,,,1:02.38,,,2:23.21,,,1:07.44,,,2:25.97,,,,,1:07.83,2:16.58,,,1:01.97,,2:10.37,,,4:55.83,,,,,40.35,37.16,,,33.0,,,51.63,,,70.48,,,100.0,,,69.13,,,99.35,,,44.0,,,45.21,,,,,42.42,64.82,,,52.72,,39.99,,,64.68,,
1331838,22.77,,,49.04,,,1:50.02,,,4:48.77,,,10:43.20,,,17:54.72,,,52.69,,,1:55.39,,,1:02.68,,,2:26.90,,,55.49,,,2:14.64,,,58.35,,1:56.55,,,4:10.38,,,52.1,,,41.77,,,50.15,,,37.38,,,67.67,,,64.57,,,39.06,,,38.0,,,57.05,,,97.19,,,65.41,,,100.0,,,88.99,,32.31,,,30.61,,
491898,,,24.77,,,53.46,1:39.75,,,4:31.12,,,9:22.05,,,15:48.10,,,56.52,,,1:59.21,,,1:10.28,,,2:24.20,,,,,1:04.14,2:06.71,,,57.19,,1:57.16,,,,,4:46.61,,,32.41,,,25.19,14.55,,,16.21,,,11.97,,,15.7,,,76.78,,,57.41,,,100.0,,,92.07,,,,,77.09,81.55,,,45.66,,37.6,,,,,36.93
491898,,,24.77,,,53.46,1:39.75,,,4:31.12,,,9:22.05,,,15:48.10,,,56.52,,,1:59.21,,,1:10.28,,,2:24.20,,,,,1:04.14,2:06.71,,,57.19,,1:57.16,,,,,4:46.61,,,32.41,,,25.19,14.55,,,16.21,,,11.97,,,15.7,,,76.78,,,57.41,,,100.0,,,92.07,,,,,77.09,81.55,,,45.66,,37.6,,,,,36.93
458897,22.32,,,48.09,,,1:43.32,,,,,4:13.63,,,,,,,59.53,,,,,,,,,,,,53.34,,,,,,1:02.74,,,,,,,,47.54,,,37.51,,,27.18,,,,,31.7,,,,,,,100.0,,,,,,,,,,,,51.18,,,,,,92.0,,,,,,,
348492,25.47,,,,,1:02.25,1:53.59,,,5:03.49,,,,,,,,,57.51,,,2:00.44,,,,,,,,,,,1:04.97,,,2:20.24,,,,,2:42.73,,,,51.41,,,,,40.89,26.03,,,27.75,,,,,,,,,31.85,,,18.92,,,,,,,,,,,29.89,,,20.84,,,,,80.9,,,
721177,21.58,,,45.89,,,1:43.02,,,4:51.73,,,,,,,,,52.38,,,2:07.35,,,53.34,,,1:56.84,,,49.69,,,1:53.21,,,54.14,,1:49.48,,,4:12.27,,,29.62,,,16.35,,,23.46,,,41.61,,,,,,,,,36.64,,,85.17,,,1.0,,,1.0,,,19.06,,,26.62,,,51.16,,9.84,,,33.57,,
864415,,,26.38,,55.75,,,2:06.28,,,,,,,,,,,,,,,,,,1:07.24,,,,,,,1:05.73,,,,,,,2:18.43,,,,,,,59.74,,53.68,,,69.46,,,,,,,,,,,,,,,,,,46.96,,,,,,,90.51,,,,,,,65.77,,,,
288560,26.7,,,56.13,,,2:03.85,,,5:23.27,,,11:35.18,,,19:13.83,,,1:06.47,,,2:22.75,,,,,1:43.45,,,3:49.14,59.50,,,2:07.57,,,1:14.06,,2:25.54,,,,,6:00.43,70.58,,,52.61,,,60.96,,,54.45,,,88.93,,,71.28,,,97.26,,,93.82,,,,,100.0,,,100.0,43.29,,,30.23,,,100.0,,88.3,,,,,100.0
337718,,,29.55,56.88,,,2:00.51,,,5:25.40,,,11:07.96,,,19:08.87,,,1:01.98,,,2:10.16,,,1:37.43,,,,,,1:13.00,,,,,,1:07.75,,,,2:47.83,5:09.19,,,,,56.98,60.33,,,50.3,,,57.23,,,49.36,,,66.37,,,64.79,,,49.84,,,100.0,,,,,,100.0,,,,,,88.63,,,,98.35,89.42,,
1488417,,,30.30,,,1:05.68,,,2:17.31,,,4:45.13,,,9:47.99,,,18:36.16,,,1:10.45,,,2:30.40,1:21.19,,,,,,1:05.34,,,,,,1:04.89,,,,2:42.43,5:03.53,,,,,69.16,,,66.74,,,49.48,,,44.53,,,42.4,,,41.79,,,59.68,,,52.82,100.0,,,,,,96.11,,,,,,75.2,,,,76.19,77.8,,
64073,,,29.43,,,1:05.85,1:53.96,,,4:56.17,,,10:03.29,,,16:38.50,,,,,,2:23.39,,,,,,,,,,,1:06.76,2:04.96,,,,,2:11.10,,,4:27.01,,,,,63.16,,,77.2,25.61,,,19.0,,,23.83,,,11.35,,,,,,96.42,,,,,,,,,,,48.11,22.46,,,,,37.9,,,21.01,,
630542,,,30.16,,,1:06.69,,,2:20.89,5:29.71,,,,,10:22.34,20:55.32,,,1:01.66,,,2:27.66,,,1:09.43,,,,,3:00.64,1:08.82,,,,,,1:11.81,,2:17.20,,,,,5:50.54,,,65.48,,,73.66,,,63.29,65.99,,,,,72.3,100.0,,,63.38,,,100.0,,,56.49,,,,,77.41,100.0,,,,,,100.0,,63.25,,,,,86.15
419840,23.23,,,51.50,,,1:58.15,,,5:44.70,,,,,,,,,,,,,,,1:01.07,,,2:28.09,,,1:02.12,,,,,,,,2:18.70,,,,,,57.8,,,61.57,,,82.32,,,100.0,,,,,,,,,,,,,,,44.69,,,99.62,,,100.0,,,,,,,,100.0,,,,,
504659,23.29,,,49.68,,,,,2:05.29,5:08.78,,,,,,,,,58.69,,,2:10.10,,,1:01.32,,,2:15.39,,,,,1:01.81,2:10.50,,,,,2:01.83,,,4:26.81,,,62.69,,,48.69,,,,,53.93,63.77,,,,,,,,,89.0,,,92.6,,,48.27,,,53.56,,,,,57.15,86.29,,,,,49.83,,,53.67,,
588138,29.3,,,1:06.94,,,,,,,,,,,,,,,1:10.79,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
459303,20.94,,,45.93,,,1:39.83,,,5:01.30,,,,,9:19.34,,,18:23.81,48.84,,,1:49.50,,,1:00.40,,,2:14.51,,,52.09,,,,,2:28.32,53.23,,1:52.30,,,4:12.28,,,22.01,,,19.93,,,14.82,,,59.13,,,,,65.68,,,69.02,14.42,,,22.22,,,45.63,,,56.08,,,40.87,,,,,98.9,17.64,,21.3,,,37.82,,
526765,,,26.95,50.13,,,1:46.00,,,4:35.31,,,9:46.65,,,16:33.72,,,54.62,,,1:57.59,,,1:08.19,,,2:22.43,,,,,1:04.51,1:57.94,,,1:14.54,,1:53.60,,,4:05.86,,,,,72.09,51.37,,,34.39,,,19.18,,,27.46,,,30.3,,,54.79,,,45.98,,,100.0,,,79.82,,,,,81.19,43.04,,,100.0,,22.59,,,23.72,,
1689873,,,30.52,,,1:07.29,2:06.07,,,,,,,,,,,,,,,,,,,,1:22.36,,,3:04.64,,,,,,,,,2:24.18,,,,,,,,72.85,,,79.23,72.56,,,,,,,,,,,,,,,,,,,,70.18,,,91.91,,,,,,,,,89.0,,,,,
356828,25.9,,,55.77,,,1:59.75,,,5:21.11,,,,,,,,,58.59,,,2:05.30,,,1:26.58,,,2:53.53,,,,,1:11.03,,,,,,,,,,,,59.15,,,51.18,,,47.49,,,51.14,,,,,,,,,39.36,,,33.78,,,100.0,,,100.0,,,,,69.42,,,,,,,,,,,
396198,24.1,,,53.52,,,2:02.04,,,,,5:06.22,12:17.98,,,,,,57.51,,,2:05.20,,,1:02.35,,,2:18.42,,,1:00.05,,,2:22.22,,,1:09.15,,2:06.25,,,4:36.79,,,76.09,,,81.21,,,100.0,,,,,100.0,100.0,,,,,,77.32,,,72.25,,,53.91,,,63.2,,,100.0,,,100.0,,,100.0,,63.82,,,72.28,,
930474,22.04,,,53.74,,,1:52.12,,,,,5:09.14,,,,,,,57.91,,,,,,,,1:31.05,,,3:12.47,,,1:13.42,,,,,,,,2:48.23,,,,38.02,,,86.25,,,58.86,,,,,100.0,,,,,,,84.29,,,,,,,,100.0,,,100.0,,,100.0,,,,,,,,100.0,,,
1177792,28.56,,,1:01.41,,,2:19.55,,,6:37.92,,,,,,,,,1:11.16,,,,,,,,,,,,1:13.18,,,,,,1:20.98,,2:35.62,,,,,,100.0,,,100.0,,,100.0,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,100.0,,,,,,100.0,,100.0,,,,,
1194514,22.6,,,49.78,,,,,,,,,,,,,,,,,,,,,58.99,,,,,,,,,,,,,,,,,,,,53.13,,,52.42,,,,,,,,,,,,,,,,,,,,,35.74,,,,,,,,,,,,,,,,,,,
995572,,,30.03,,,1:03.93,1:55.40,,,5:01.75,,,10:26.60,,,,,17:57.28,,,1:10.28,2:07.14,,,1:14.83,,,2:34.42,,,,,1:12.30,2:15.31,,,1:04.33,,2:10.21,,,4:31.53,,,,,63.37,,,53.1,34.13,,,27.47,,,29.04,,,,,28.74,,,58.54,41.04,,,95.67,,,69.5,,,,,72.01,59.76,,,70.73,,39.69,,,29.45,,
334062,23.54,,,51.02,,,1:50.74,,,5:05.16,,,,,,,,,1:02.84,,,2:16.27,,,,,,,,,57.44,,,,,,,,2:13.98,,,4:39.38,,,17.21,,,14.86,,,15.35,,,30.08,,,,,,,,,66.83,,,68.74,,,,,,,,,29.02,,,,,,,,47.12,,,38.47,,
598309,23.43,,,52.42,,,1:54.88,,,5:38.07,,,,,10:19.43,19:35.28,,,1:00.12,,,,,2:45.25,58.21,,,2:09.12,,,52.85,,,2:40.11,,,55.71,,2:00.38,,,4:30.19,,,65.62,,,72.93,,,70.8,,,100.0,,,,,100.0,100.0,,,100.0,,,,,100.0,25.99,,,34.23,,,43.05,,,100.0,,,64.61,,45.69,,,63.87,,
1454416,,,28.24,,,1:01.03,1:59.43,,,,,5:08.91,,,,,,,1:02.04,,,2:19.95,,,,,1:31.96,2:59.70,,,,,1:11.01,,,,1:22.22,,2:18.18,,,,,,,,36.03,,,33.32,48.58,,,,,86.28,,,,,,,66.4,,,87.78,,,,,100.0,100.0,,,,,63.01,,,,100.0,,66.75,,,,,
271494,24.62,,,52.54,,,1:53.53,,,5:26.20,,,,,,,,,59.65,,,2:08.91,,,,,,,,,1:01.26,,,,,,,,2:20.58,,,,,,33.95,,,25.34,,,24.21,,,58.66,,,,,,,,,42.84,,,43.0,,,,,,,,,56.3,,,,,,,,69.79,,,,,
