ID,50 Y Free Time,50 S Free Time,50 L Free Time,100 Y Free Time,100 S Free Time,100 L Free Time,200 Y Free Time,200 S Free Time,200 L Free Time,500 Y Free Time,400 S Free Time,400 L Free Time,1000 Y Free Time,800 S Free Time,800 L Free Time,1650 Y Free Time,1500 S Free Time,1500 L Free Time,100 Y Back Time,100 S Back Time,100 L Back Time,200 Y Back Time,200 S Back Time,200 L Back Time,100 Y Breast Time,100 S Breast Time,100 L Breast Time,200 Y Breast Time,200 S Breast Time,200 L Breast Time,100 Y Fly Time,100 S Fly Time,100 L Fly Time,200 Y Fly Time,200 S Fly Time,200 L Fly Time,100 Y IM Time,100 S IM Time,200 Y IM Time,200 S IM Time,200 L IM Time,400 Y IM Time,400 S IM Time,400 L IM Time,50 Y Free Points,50 S Free Points,50 L Free Points,100 Y Free Points,100 S Free Points,100 L Free Points,200 Y Free Points,200 S Free Points,200 L Free Points,500 Y Free Points,400 S Free Points,400 L Free Points,1000 Y Free Points,800 S Free Points,800 L Free Points,1650 Y Free Points,1500 S Free Points,1500 L Free Points,100 Y Back Points,100 S Back Points,100 L Back Points,200 Y Back Points,200 S Back Points,200 L Back Points,100 Y Breast Points,100 S Breast Points,100 L Breast Points,200 Y Breast Points,200 S Breast Points,200 L Breast Points,100 Y Fly Points,100 S Fly Points,100 L Fly Points,200 Y Fly Points,200 S Fly Points,200 L Fly Points,100 Y IM Points,100 S IM Points,200 Y IM Points,200 S IM Points,200 L IM Points,400 Y IM Points,400 S IM Points,400 L IM Points
376488,,,27.37,49.82,,,1:46.78,,,4:46.99,,,9:58.30,,,16:40.35,,,57.00,,,2:02.81,,,,,,,,,55.39,,,2:01.04,,,,,2:04.80,,,5:28.33,,,,,69.3,46.36,,,34.85,,,33.6,,,28.48,,,32.64,,,72.68,,,62.63,,,,,,,,,58.43,,,49.78,,,,,58.27,,,100.0,,
498065,22.85,,,,,56.04,1:42.83,,,4:33.99,,,9:33.44,,,16:22.75,,,58.81,,,2:10.50,,,1:18.83,,,2:47.84,,,58.54,,,,,,1:35.36,,,,2:35.66,,,5:27.99,58.23,,,,,44.06,25.4,,,19.91,,,18.85,,,28.74,,,99.03,,,100.0,,,100.0,,,100.0,,,99.52,,,,,,100.0,,,,100.0,,,100.0
605464,,,27.25,,,56.01,1:47.98,,,4:56.52,,,10:05.47,,,17:28.35,,,55.00,,,1:58.93,,,,,,2:24.19,,,,,59.36,1:56.56,,,,,2:00.49,,,4:18.81,,,,,75.97,,,43.83,45.04,,,51.72,,,39.72,,,56.06,,,62.98,,,56.31,,,,,,92.03,,,,,40.58,41.55,,,,,49.59,,,48.72,,
701079,26.88,,,56.34,,,2:04.85,,,,,,,,,,,,,,,,,,59.62,,,2:34.26,,,,,,,,,,,1:59.25,,,,,,100.0,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,29.78,,,100.0,,,,,,,,,,,35.79,,,,,
466109,,,26.47,,,58.35,1:51.33,,,4:48.47,,,9:50.00,,,,,16:56.64,1:01.15,,,2:32.76,,,,,1:22.64,2:28.37,,,,,1:02.07,1:55.62,,,,,,,2:36.48,4:32.95,,,,,61.37,,,62.49,58.86,,,39.77,,,29.36,,,,,32.27,100.0,,,100.0,,,,,100.0,100.0,,,,,60.59,38.18,,,,,,,100.0,74.28,,
389320,23.26,,,,,57.42,1:48.64,,,4:56.11,,,10:29.12,,,,,,56.89,,,,,2:31.62,1:00.07,,,2:08.06,,,55.93,,,2:08.35,,,,,1:58.73,,,4:14.27,,,58.41,,,,,48.48,41.96,,,46.65,,,49.22,,,,,,71.68,,,,,100.0,37.74,,,29.43,,,63.08,,,78.39,,,,,36.42,,,33.78,,
187922,32.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552227,22.31,,,48.64,,,1:49.99,,,5:05.95,,,10:39.43,,,,,,54.15,,,1:59.50,,,,,1:19.22,2:24.09,,,52.12,,,1:58.73,,,,,2:01.00,,,4:33.53,,,39.9,,,36.27,,,47.28,,,61.66,,,56.62,,,,,,48.19,,,49.91,,,,,100.0,83.95,,,32.17,,,41.42,,,,,44.34,,,66.3,,
475008,22.82,,,49.13,,,1:43.62,,,4:40.22,,,9:46.11,,,16:27.65,,,53.76,,,1:53.11,,,1:05.87,,,2:21.96,,,55.23,,,1:59.17,,,59.03,,2:00.20,,,4:11.70,,,57.61,,,46.56,,,28.29,,,28.2,,,26.84,,,30.66,,,52.27,,,34.6,,,88.59,,,83.3,,,67.71,,,51.2,,,60.08,,48.52,,,36.88,,
514993,21.86,,,,,54.87,1:43.95,,,4:44.32,,,9:45.67,,,16:09.57,,,,,59.37,,,2:09.18,1:04.63,,,2:14.81,,,,,56.98,,,2:03.66,,,1:54.35,,,,,4:47.02,38.67,,,,,35.28,29.51,,,33.87,,,26.56,,,23.67,,,,,38.51,,,37.61,78.2,,,57.12,,,,,24.46,,,15.69,,,28.01,,,,,37.51
